lead_id,source,industry,company_size,job_title_seniority,email_opens_30d,site_visits_30d,avg_pages_per_visit,demo_requested,budget_confirmed,days_to_first_response,converted
LEAD-00040,Paid ad,SaaS,1-10,VP/C-level,6,5,0.8,0,0,1.1,1
LEAD-00041,Cold outbound,Manufacturing,1-10,IC,3,8,1.1,1,0,0.3,0
LEAD-00042,Website form,Education,1-10,IC,2,8,8.8,0,1,0.2,0
LEAD-00043,Cold outbound,SaaS,201-1000,Director,3,5,1.9,1,0,8.2,0
LEAD-00044,Content download,Healthcare,51-200,IC,2,5,3.0,0,0,2.5,0
LEAD-00045,Cold outbound,Finance,11-50,Manager,1,0,3.3,1,0,3.7,0
LEAD-00046,Webinar,Healthcare,11-50,Manager,5,1,1.7,0,0,1.7,0
LEAD-00047,Website form,SaaS,51-200,Director,1,3,2.0,1,0,3.4,1
LEAD-00048,Content download,SaaS,1-10,IC,2,6,0.8,0,0,3.4,0
LEAD-00049,Cold outbound,Education,51-200,VP/C-level,3,8,4.1,0,0,0.7,0
LEAD-00050,Cold outbound,Retail,1-10,IC,0,2,9.2,0,0,3.2,0
LEAD-00051,Referral,Healthcare,51-200,IC,2,3,2.5,1,0,1.7,1
LEAD-00052,Referral,Education,1000+,Manager,1,8,2.5,0,0,0.4,0
LEAD-00053,Referral,Education,51-200,Manager,2,1,3.7,0,0,1.5,0
LEAD-00054,Content download,SaaS,1-10,Manager,1,3,1.3,1,0,4.7,0
LEAD-00055,Content download,SaaS,11-50,IC,4,6,1.1,1,0,4.2,0
LEAD-00056,Webinar,Healthcare,11-50,Manager,2,5,5.2,0,1,2.0,1
LEAD-00057,Paid ad,SaaS,201-1000,Manager,5,4,2.1,0,0,0.4,0
LEAD-00058,Content download,Manufacturing,1-10,IC,2,4,0.2,0,0,0.3,0
LEAD-00059,Content download,Finance,1-10,IC,3,1,6.6,1,0,0.7,0
LEAD-00060,Website form,SaaS,1-10,IC,4,3,8.7,0,1,1.7,0
LEAD-00061,Content download,Healthcare,11-50,IC,6,7,0.5,0,0,15.3,0
LEAD-00062,Website form,Education,201-1000,Manager,1,5,2.6,1,0,1.6,1
LEAD-00063,Referral,Healthcare,11-50,IC,5,6,1.9,0,0,0.5,0
LEAD-00064,Content download,Retail,51-200,Director,1,1,1.3,0,0,3.3,0
LEAD-00065,Website form,Manufacturing,1-10,Manager,2,2,4.9,0,1,0.2,0
LEAD-00066,Cold outbound,SaaS,1-10,Manager,2,3,2.4,0,0,9.1,0
LEAD-00067,Cold outbound,Finance,11-50,Manager,4,4,4.0,0,0,4.2,1
LEAD-00068,Content download,Finance,51-200,Director,4,8,2.4,0,1,0.3,0
LEAD-00069,Website form,Manufacturing,51-200,VP/C-level,3,6,0.8,1,1,1.4,1
LEAD-00070,Webinar,Education,11-50,IC,4,3,1.1,0,0,2.6,0
LEAD-00071,Website form,Finance,1-10,Director,6,5,4.2,0,1,2.6,0
LEAD-00072,Cold outbound,Manufacturing,1-10,Manager,5,5,2.9,0,0,0.9,0
LEAD-00073,Website form,Finance,11-50,Manager,3,5,2.8,0,0,1.9,0
LEAD-00074,Webinar,Education,1-10,VP/C-level,6,9,6.1,0,0,2.1,0
LEAD-00075,Website form,Healthcare,51-200,Director,2,8,5.6,0,0,1.2,0
LEAD-00076,Cold outbound,Healthcare,201-1000,IC,1,6,0.6,0,0,1.7,0
LEAD-00077,Referral,Healthcare,51-200,Manager,5,1,4.2,1,0,0.7,0
LEAD-00078,Website form,Manufacturing,1-10,Manager,2,4,3.4,0,0,2.4,0
LEAD-00079,Website form,Retail,51-200,IC,3,3,6.3,0,1,4.5,1
LEAD-00080,Webinar,SaaS,1-10,IC,2,4,3.3,0,0,5.1,0
LEAD-00081,Content download,Retail,1-10,IC,2,2,0.8,0,0,2.6,0
LEAD-00082,Website form,Manufacturing,51-200,Manager,2,3,0.8,0,0,4.3,0
LEAD-00083,Webinar,Education,11-50,Manager,2,7,2.2,0,0,1.3,0
LEAD-00084,Content download,Healthcare,201-1000,IC,3,7,7.2,0,0,1.3,0
LEAD-00085,Website form,SaaS,51-200,VP/C-level,5,1,2.5,0,0,4.6,1
LEAD-00086,Referral,Retail,51-200,IC,7,6,2.9,0,0,3.4,0
LEAD-00087,Cold outbound,Education,51-200,Manager,10,2,0.5,0,0,5.1,0
LEAD-00088,Website form,Retail,201-1000,Manager,4,5,4.0,0,0,1.9,1
LEAD-00089,Paid ad,Healthcare,201-1000,Manager,3,4,5.7,0,0,2.6,0
LEAD-00090,Cold outbound,Healthcare,1-10,Director,4,4,3.3,1,0,0.2,0
LEAD-00091,Website form,SaaS,1000+,VP/C-level,2,5,0.3,0,0,1.3,0
LEAD-00092,Website form,Retail,11-50,Director,5,5,1.1,0,0,5.6,0
LEAD-00093,Webinar,Retail,1-10,Manager,1,5,1.1,0,0,0.5,0
LEAD-00094,Referral,Healthcare,201-1000,Director,5,3,0.6,0,0,6.7,0
LEAD-00095,Website form,Manufacturing,201-1000,Manager,2,4,1.3,1,0,0.3,0
LEAD-00096,Referral,Manufacturing,51-200,IC,1,8,0.8,1,1,2.1,1
LEAD-00097,Website form,Retail,51-200,IC,4,4,2.0,1,0,0.1,0
LEAD-00098,Website form,Healthcare,1-10,Manager,3,6,2.3,0,0,0.3,0
LEAD-00099,Content download,Manufacturing,1-10,IC,1,7,8.6,0,0,3.3,0
LEAD-00100,Content download,SaaS,51-200,Manager,1,5,7.5,0,0,5.4,0
LEAD-00101,Paid ad,SaaS,1000+,Manager,4,2,2.2,0,0,7.7,0
LEAD-00102,Website form,Education,1-10,VP/C-level,4,3,2.6,0,0,2.3,0
LEAD-00103,Webinar,Healthcare,51-200,IC,2,1,4.4,0,0,0.0,1
LEAD-00104,Cold outbound,SaaS,1-10,IC,1,11,1.4,0,1,2.4,0
LEAD-00105,Webinar,Healthcare,51-200,Manager,6,3,2.1,1,0,0.4,0
LEAD-00106,Content download,Education,11-50,Director,1,4,5.4,0,0,1.5,0
LEAD-00107,Cold outbound,Retail,1-10,IC,4,3,3.7,0,0,0.0,0
LEAD-00108,Cold outbound,Retail,1-10,Manager,3,2,1.3,0,0,2.3,0
LEAD-00109,Paid ad,Healthcare,11-50,Manager,1,5,2.7,1,0,0.9,0
LEAD-00110,Website form,SaaS,11-50,Manager,3,2,1.6,0,0,6.5,0
LEAD-00111,Webinar,Retail,51-200,Manager,5,6,3.7,1,0,3.6,1
LEAD-00112,Website form,Retail,11-50,Director,2,3,2.7,0,0,5.0,0
LEAD-00113,Cold outbound,Education,11-50,Manager,5,2,3.7,0,0,2.6,1
LEAD-00114,Webinar,Healthcare,11-50,Manager,5,5,1.8,0,0,1.3,0
LEAD-00115,Cold outbound,Healthcare,51-200,Director,2,5,2.3,0,1,1.0,0
LEAD-00116,Referral,Manufacturing,1-10,Director,3,1,2.4,0,0,3.1,1
LEAD-00117,Cold outbound,Finance,11-50,Manager,3,5,2.0,0,0,3.1,0
LEAD-00118,Website form,Retail,11-50,Manager,1,2,2.6,0,0,1.5,0
LEAD-00119,Cold outbound,SaaS,1-10,IC,4,6,6.0,0,0,2.0,0
LEAD-00120,Cold outbound,Retail,51-200,IC,0,4,5.4,1,0,3.1,0
LEAD-00121,Cold outbound,Education,51-200,Director,3,9,1.4,1,0,5.7,0
LEAD-00122,Content download,Manufacturing,1000+,IC,4,3,2.4,0,0,1.1,1
LEAD-00123,Webinar,Education,1-10,VP/C-level,2,2,5.1,0,1,1.0,0
LEAD-00124,Website form,Manufacturing,11-50,Director,1,7,4.5,1,0,7.0,1
LEAD-00125,Website form,Healthcare,201-1000,IC,3,7,3.2,0,0,3.6,0
LEAD-00126,Paid ad,Finance,201-1000,VP/C-level,0,5,1.9,0,0,4.2,0
LEAD-00127,Content download,Education,51-200,Director,4,8,3.7,0,0,0.4,1
LEAD-00128,Cold outbound,Education,11-50,Manager,2,4,3.3,0,0,5.3,0
LEAD-00129,Content download,Retail,51-200,Manager,2,5,0.9,1,1,2.2,0
LEAD-00130,Cold outbound,SaaS,11-50,Manager,4,4,1.1,0,1,1.8,0
LEAD-00131,Content download,Education,11-50,Director,2,3,1.8,0,1,6.9,0
LEAD-00132,Cold outbound,Education,51-200,IC,2,4,0.3,0,0,6.0,0
LEAD-00133,Referral,Finance,201-1000,IC,7,3,3.3,0,0,1.5,1
LEAD-00134,Website form,Retail,1-10,IC,3,9,1.8,0,0,7.1,0
LEAD-00135,Content download,Education,51-200,IC,4,1,0.8,0,0,0.3,0
LEAD-00136,Webinar,SaaS,201-1000,Manager,7,4,3.5,1,0,0.2,1
LEAD-00137,Cold outbound,Finance,11-50,VP/C-level,2,4,3.5,0,0,0.2,0
LEAD-00138,Referral,SaaS,1-10,IC,3,6,0.2,1,0,1.7,1
LEAD-00139,Paid ad,Finance,11-50,IC,3,6,1.6,0,0,5.7,0
LEAD-00140,Referral,Manufacturing,1-10,VP/C-level,1,4,2.4,1,0,2.9,0
LEAD-00141,Website form,SaaS,51-200,Manager,0,2,3.0,0,0,3.2,0
LEAD-00142,Content download,Healthcare,11-50,IC,1,8,3.3,0,0,1.7,0
LEAD-00143,Content download,Retail,51-200,IC,0,1,1.4,1,0,4.3,0
LEAD-00144,Website form,Healthcare,51-200,IC,0,4,0.6,0,0,1.5,0
LEAD-00145,Referral,Education,1-10,IC,4,4,3.2,0,0,0.6,0
LEAD-00146,Paid ad,Retail,1-10,IC,6,4,5.5,0,0,1.3,0
LEAD-00147,Cold outbound,Healthcare,11-50,Director,2,5,2.6,0,0,0.1,0
LEAD-00148,Webinar,Finance,51-200,IC,4,5,0.6,1,0,0.3,0
LEAD-00149,Content download,Retail,11-50,Manager,3,2,2.7,1,0,0.2,0
LEAD-00150,Webinar,SaaS,1-10,IC,2,4,1.0,0,0,0.3,0
LEAD-00151,Cold outbound,Retail,1-10,Director,3,3,2.2,0,0,7.8,0
LEAD-00152,Website form,Education,11-50,Director,3,8,3.0,1,0,1.7,1
LEAD-00153,Paid ad,SaaS,201-1000,IC,3,2,0.6,0,0,3.8,0
LEAD-00154,Website form,Manufacturing,1-10,Manager,5,2,1.0,0,0,1.4,0
LEAD-00155,Cold outbound,Healthcare,51-200,Manager,4,4,0.9,0,0,0.2,0
LEAD-00156,Cold outbound,Manufacturing,1-10,IC,5,6,1.1,1,1,0.3,1
LEAD-00157,Webinar,SaaS,1000+,IC,4,7,1.0,0,0,1.1,0
LEAD-00158,Content download,Education,51-200,Manager,3,1,2.6,0,0,1.1,1
LEAD-00159,Content download,SaaS,1-10,IC,1,4,2.5,0,1,3.3,1
LEAD-00160,Webinar,Education,1000+,Manager,3,1,3.0,0,1,5.5,0
LEAD-00161,Cold outbound,Retail,11-50,VP/C-level,2,3,0.3,0,0,0.1,0
LEAD-00162,Cold outbound,Education,51-200,VP/C-level,3,3,5.3,0,0,0.2,1
LEAD-00163,Referral,Retail,1-10,Director,3,0,3.3,1,0,0.6,0
LEAD-00164,Cold outbound,Education,1-10,IC,8,5,0.7,0,0,2.5,0
LEAD-00165,Cold outbound,Education,1-10,Manager,3,3,1.7,1,0,2.5,0
LEAD-00166,Website form,Manufacturing,1-10,Manager,0,6,1.4,0,0,7.1,0
LEAD-00167,Website form,Education,11-50,IC,6,7,4.6,0,0,0.6,0
LEAD-00168,Referral,Healthcare,1-10,IC,6,2,0.2,0,0,5.7,0
LEAD-00169,Content download,Healthcare,1-10,IC,3,6,6.2,0,0,0.5,0
LEAD-00170,Cold outbound,SaaS,1-10,Director,2,4,3.0,0,0,1.6,0
LEAD-00171,Cold outbound,SaaS,201-1000,IC,6,3,3.0,1,1,0.2,0
LEAD-00172,Referral,SaaS,11-50,IC,1,1,1.7,0,0,2.0,0
LEAD-00173,Website form,Retail,201-1000,Manager,1,10,4.3,0,1,4.6,0
LEAD-00174,Website form,Finance,11-50,IC,2,1,2.1,0,1,2.5,0
LEAD-00175,Content download,Manufacturing,11-50,IC,1,5,4.6,0,0,1.1,1
LEAD-00176,Paid ad,Education,11-50,Director,3,5,2.0,0,1,0.3,1
LEAD-00177,Content download,Education,51-200,IC,5,4,3.8,1,0,3.1,1
LEAD-00178,Paid ad,Manufacturing,11-50,Manager,4,4,0.7,0,0,4.2,0
LEAD-00179,Website form,Education,51-200,IC,2,3,1.1,0,0,2.3,0
LEAD-00180,Webinar,Finance,11-50,Manager,6,1,1.5,0,0,1.8,1
LEAD-00181,Webinar,Manufacturing,1-10,Manager,5,3,2.9,0,0,0.5,0
LEAD-00182,Cold outbound,Manufacturing,11-50,Manager,6,3,3.2,0,0,0.3,0
LEAD-00183,Website form,Retail,1-10,Director,3,0,1.3,0,0,1.2,0
LEAD-00184,Referral,SaaS,11-50,Manager,2,5,2.0,0,0,4.2,0
LEAD-00185,Cold outbound,Healthcare,11-50,Manager,2,8,1.3,0,0,3.9,0
LEAD-00186,Content download,SaaS,51-200,VP/C-level,7,1,0.7,0,0,8.4,0
LEAD-00187,Referral,Healthcare,1000+,VP/C-level,3,5,1.4,0,1,0.2,0
LEAD-00188,Content download,SaaS,1-10,IC,4,4,1.5,1,0,2.9,0
LEAD-00189,Content download,SaaS,51-200,Manager,3,2,0.8,0,0,0.4,0
LEAD-00190,Content download,Healthcare,201-1000,Director,3,7,4.1,0,0,1.1,0
LEAD-00191,Cold outbound,Education,51-200,Manager,0,4,0.4,0,0,1.0,0
LEAD-00192,Website form,Manufacturing,1-10,IC,4,3,2.6,0,0,2.5,0
LEAD-00193,Paid ad,Manufacturing,11-50,IC,3,13,7.4,1,0,0.6,0
LEAD-00194,Content download,Education,201-1000,IC,3,4,0.5,0,0,3.6,0
LEAD-00195,Website form,Healthcare,11-50,IC,2,6,1.7,0,0,7.3,0
LEAD-00196,Website form,Manufacturing,51-200,IC,2,1,2.3,0,0,3.9,0
LEAD-00197,Content download,SaaS,11-50,IC,4,2,3.0,0,0,0.1,0
LEAD-00198,Website form,Education,51-200,VP/C-level,2,3,2.3,0,0,1.1,1
LEAD-00199,Cold outbound,SaaS,11-50,IC,1,4,1.3,1,0,0.2,0
LEAD-00200,Website form,Education,51-200,IC,3,4,1.5,0,0,0.0,0
LEAD-00201,Cold outbound,Healthcare,1-10,IC,3,2,2.2,1,0,0.7,0
LEAD-00202,Referral,Finance,1-10,Manager,4,4,2.0,0,1,0.4,0
LEAD-00203,Content download,Healthcare,1-10,Director,3,7,5.2,0,0,1.4,0
LEAD-00204,Referral,Education,11-50,Director,6,2,1.7,0,0,3.7,0
LEAD-00205,Cold outbound,SaaS,1-10,IC,4,2,3.2,0,0,0.9,0
LEAD-00206,Content download,SaaS,11-50,Director,4,3,3.7,1,0,4.6,0
LEAD-00207,Website form,Manufacturing,51-200,VP/C-level,3,6,1.1,0,0,5.3,0
LEAD-00208,Cold outbound,Education,1-10,VP/C-level,7,4,3.5,0,0,2.6,0
LEAD-00209,Content download,Finance,1-10,Manager,2,6,2.0,0,0,0.5,0
LEAD-00210,Referral,Retail,1-10,Manager,2,2,3.9,0,0,1.0,0
LEAD-00211,Content download,Retail,11-50,Manager,3,2,7.1,1,0,3.2,1
LEAD-00212,Cold outbound,Education,51-200,Manager,4,3,2.1,0,0,3.3,0
LEAD-00213,Cold outbound,Manufacturing,1-10,Manager,3,6,2.7,0,0,0.6,0
LEAD-00214,Paid ad,Education,11-50,Manager,5,4,1.3,0,1,0.6,0
LEAD-00215,Referral,Education,1000+,IC,0,7,2.8,1,0,0.5,0
LEAD-00216,Website form,Finance,11-50,Manager,5,3,1.2,0,0,7.5,0
LEAD-00217,Referral,Finance,1-10,Manager,4,6,1.0,0,0,1.5,0
LEAD-00218,Webinar,Manufacturing,201-1000,Manager,6,5,0.7,0,0,10.6,0
LEAD-00219,Content download,Retail,201-1000,IC,4,4,0.5,0,0,1.8,1
LEAD-00220,Website form,Manufacturing,51-200,VP/C-level,3,6,3.1,0,0,10.8,0
LEAD-00221,Content download,SaaS,11-50,Director,4,2,7.7,1,0,1.4,0
LEAD-00222,Content download,Manufacturing,11-50,Director,5,5,3.8,0,0,2.3,0
LEAD-00223,Referral,Finance,11-50,Director,5,2,2.8,0,0,1.6,0
LEAD-00224,Webinar,Healthcare,201-1000,IC,4,2,0.6,0,0,1.8,1
LEAD-00225,Cold outbound,Healthcare,1-10,IC,1,3,2.6,0,0,3.7,0
LEAD-00226,Website form,Education,201-1000,Director,3,4,6.9,0,0,1.4,0
LEAD-00227,Paid ad,Healthcare,1-10,Manager,3,1,2.8,0,0,0.7,0
LEAD-00228,Paid ad,Retail,1-10,Manager,1,3,3.2,0,0,1.2,0
LEAD-00229,Website form,SaaS,201-1000,VP/C-level,0,6,3.6,0,0,5.9,1
LEAD-00230,Content download,Manufacturing,51-200,IC,3,6,1.3,0,0,6.4,0
LEAD-00231,Cold outbound,SaaS,1-10,VP/C-level,5,4,1.1,0,0,3.9,0
LEAD-00232,Content download,Finance,1-10,Director,1,5,2.3,1,0,1.8,1
LEAD-00233,Webinar,Finance,1-10,Manager,5,4,0.5,1,0,1.3,0
LEAD-00234,Content download,Manufacturing,51-200,IC,4,5,2.6,1,0,1.9,0
LEAD-00235,Cold outbound,Manufacturing,201-1000,IC,3,4,2.2,0,1,1.1,0
LEAD-00236,Referral,Finance,1-10,Manager,3,3,4.5,0,0,0.7,0
LEAD-00237,Cold outbound,Education,11-50,IC,6,3,0.7,0,0,4.0,0
LEAD-00238,Webinar,Retail,1-10,IC,3,5,2.5,0,0,8.5,0
LEAD-00239,Webinar,Education,1-10,Manager,3,4,1.3,0,0,4.9,0
LEAD-00240,Webinar,Retail,1-10,Manager,1,3,0.1,1,0,2.9,0
LEAD-00241,Website form,Healthcare,51-200,Manager,3,5,1.4,0,0,8.7,1
LEAD-00242,Webinar,Education,1-10,IC,1,5,3.5,0,0,4.6,0
LEAD-00243,Referral,SaaS,11-50,Director,1,5,1.0,0,0,4.6,1
LEAD-00244,Cold outbound,Healthcare,1-10,IC,0,4,1.3,0,0,3.4,0
LEAD-00245,Cold outbound,Manufacturing,11-50,Manager,3,4,3.7,1,0,1.3,0
LEAD-00246,Cold outbound,SaaS,11-50,Director,1,6,2.4,0,1,3.2,1
LEAD-00247,Webinar,Finance,11-50,IC,4,6,2.3,0,0,4.4,0
LEAD-00248,Referral,Education,1-10,IC,3,3,1.1,0,1,5.0,0
LEAD-00249,Webinar,Manufacturing,201-1000,Manager,5,4,0.1,0,0,3.5,0
LEAD-00250,Paid ad,SaaS,201-1000,IC,2,3,0.7,0,0,5.2,0
LEAD-00251,Cold outbound,Education,11-50,Director,5,2,2.2,0,1,2.4,0
LEAD-00252,Content download,Finance,11-50,Director,1,4,3.3,1,0,3.1,1
LEAD-00253,Content download,Healthcare,11-50,IC,4,2,8.2,0,0,1.2,0
LEAD-00254,Website form,Finance,11-50,IC,2,4,1.6,1,1,3.8,1
LEAD-00255,Website form,Finance,1000+,IC,3,3,3.0,0,0,5.9,0
LEAD-00256,Paid ad,Finance,11-50,IC,2,4,3.1,0,0,1.5,0
LEAD-00257,Cold outbound,Retail,11-50,VP/C-level,6,0,1.0,0,0,0.1,1
LEAD-00258,Cold outbound,SaaS,201-1000,Manager,1,5,1.7,1,0,2.2,0
LEAD-00259,Website form,Finance,51-200,Director,7,2,0.7,0,0,7.9,0
LEAD-00260,Website form,SaaS,1-10,Director,2,3,2.3,0,0,13.2,0
LEAD-00261,Paid ad,Healthcare,11-50,IC,2,5,1.5,0,0,4.1,0
LEAD-00262,Content download,Retail,51-200,Manager,5,2,1.7,0,0,2.6,0
LEAD-00263,Webinar,Manufacturing,11-50,Manager,6,2,11.2,0,0,1.0,0
LEAD-00264,Website form,Education,1-10,IC,1,4,5.9,0,0,0.6,0
LEAD-00265,Cold outbound,Healthcare,11-50,Manager,4,2,3.5,0,0,4.3,0
LEAD-00266,Webinar,Retail,51-200,Director,7,3,0.5,0,0,19.2,0
LEAD-00267,Website form,Healthcare,11-50,Manager,2,4,0.7,0,0,0.5,0
LEAD-00268,Paid ad,Manufacturing,1-10,VP/C-level,5,2,2.4,0,1,1.0,0
LEAD-00269,Website form,Retail,11-50,Manager,3,1,2.1,0,0,2.0,0
LEAD-00270,Cold outbound,Finance,51-200,Manager,9,3,1.9,0,0,2.1,0
LEAD-00271,Website form,SaaS,1-10,Manager,2,2,5.0,1,0,8.3,1
LEAD-00272,Content download,Education,11-50,Director,11,3,1.3,0,0,12.0,1
LEAD-00273,Cold outbound,Education,11-50,IC,4,3,4.9,0,0,5.2,0
LEAD-00274,Website form,SaaS,11-50,Director,5,3,2.1,0,0,2.2,0
LEAD-00275,Website form,Healthcare,51-200,IC,8,6,1.5,0,0,0.2,1
LEAD-00276,Content download,Retail,1-10,Manager,0,7,2.0,0,1,0.6,0
LEAD-00277,Webinar,SaaS,201-1000,Manager,1,6,8.3,0,0,0.9,0
LEAD-00278,Content download,SaaS,51-200,IC,0,3,4.4,0,0,5.5,0
LEAD-00279,Cold outbound,SaaS,201-1000,Manager,4,2,2.2,0,0,6.2,0
LEAD-00280,Paid ad,Manufacturing,11-50,Manager,3,4,3.4,0,0,0.1,0
LEAD-00281,Referral,Manufacturing,11-50,IC,3,7,0.1,0,0,9.3,0
LEAD-00282,Website form,SaaS,11-50,IC,3,3,3.2,0,0,1.1,0
LEAD-00283,Content download,Manufacturing,1-10,VP/C-level,1,5,1.0,0,0,0.3,1
LEAD-00284,Paid ad,Finance,11-50,IC,2,5,1.3,1,0,9.8,1
LEAD-00285,Website form,Education,11-50,Manager,1,3,2.4,1,1,4.5,1
LEAD-00286,Content download,SaaS,201-1000,IC,3,3,2.3,0,0,5.7,0
LEAD-00287,Content download,Manufacturing,1-10,VP/C-level,7,3,5.4,0,0,1.0,0
LEAD-00288,Referral,Finance,1-10,IC,2,8,3.6,0,0,0.7,0
LEAD-00289,Referral,Healthcare,51-200,Manager,4,5,3.5,0,0,0.6,1
LEAD-00290,Paid ad,Education,1000+,VP/C-level,2,4,2.7,0,1,0.3,1
LEAD-00291,Content download,Retail,11-50,Director,2,1,1.6,0,0,13.5,0
LEAD-00292,Cold outbound,Retail,201-1000,Manager,2,3,4.9,0,0,7.2,0
LEAD-00293,Paid ad,Finance,51-200,Director,4,1,2.8,1,0,3.9,1
LEAD-00294,Cold outbound,SaaS,51-200,IC,3,3,3.2,0,0,0.1,0
LEAD-00295,Website form,Manufacturing,11-50,Manager,1,5,0.4,0,0,0.6,0
LEAD-00296,Content download,Healthcare,11-50,Manager,2,1,3.6,0,1,0.4,0
LEAD-00297,Referral,Finance,51-200,IC,2,2,4.8,0,0,3.9,0
LEAD-00298,Referral,Finance,51-200,Manager,6,2,2.8,1,0,3.5,1
LEAD-00299,Referral,Healthcare,1000+,VP/C-level,2,4,1.1,1,0,0.4,1
LEAD-00300,Content download,Retail,201-1000,Manager,2,4,1.9,0,0,5.2,0
LEAD-00301,Paid ad,Retail,51-200,IC,1,7,1.6,0,0,1.0,0
LEAD-00302,Website form,Education,201-1000,Manager,2,2,2.9,0,0,0.4,0
LEAD-00303,Content download,Healthcare,1-10,IC,3,2,0.6,0,0,0.3,0
LEAD-00304,Website form,Finance,1-10,Director,3,3,2.1,0,0,1.0,0
LEAD-00305,Website form,SaaS,1-10,Director,5,6,1.2,1,0,3.9,0
LEAD-00306,Cold outbound,Healthcare,1-10,Director,4,4,1.0,0,1,3.9,0
LEAD-00307,Website form,Retail,11-50,Manager,2,2,0.8,0,0,5.4,0
LEAD-00308,Cold outbound,Manufacturing,1-10,IC,1,2,2.8,0,0,7.7,0
LEAD-00309,Webinar,SaaS,201-1000,IC,3,5,4.8,0,0,3.6,0
LEAD-00310,Webinar,Finance,1-10,IC,1,5,0.9,0,1,4.8,0
LEAD-00311,Website form,Manufacturing,51-200,Manager,2,7,1.1,0,0,3.2,0
LEAD-00312,Paid ad,Manufacturing,1-10,IC,4,1,0.3,0,0,1.9,0
LEAD-00313,Paid ad,Manufacturing,201-1000,IC,3,3,5.1,0,0,0.6,0
LEAD-00314,Website form,Education,11-50,IC,5,4,0.8,0,0,3.7,0
LEAD-00315,Webinar,Healthcare,1-10,Director,3,1,4.5,1,0,0.6,1
LEAD-00316,Referral,Healthcare,11-50,Director,3,3,2.0,0,0,0.5,0
